postid,posttypeid,parentid,creationdate,score,title,"replace(body, '""', '&quot;')"
11905,2,11831,"2008-08-15 02:40:44",37,NULL,"<p>Google has a <a href=&quot;http://code.google.com/p/google-singleton-detector/&quot;>Singleton Detector</a> for Java that I believe started out as a tool that must be run on all code produced at Google.  The nutshell reason to remove Singletons:  </p>&#xA;&#xA;<blockquote>&#xA;  <p>because they can make testing&#xA;  difficult and hide problems with your&#xA;  design</p>&#xA;</blockquote>&#xA;&#xA;<p>For a more explicit explanation see '<a href=&quot;http://code.google.com/p/google-singleton-detector/wiki/WhySingletonsAreControversial&quot;>Why Singletons Are Controversial</a>' from Google.</p>&#xA;"
11911,2,11831,"2008-08-15 02:50:15",1,NULL,"<p>I find you have to be very careful about <strong>why</strong> you're deciding to use a singleton. As others have mentioned, it's essentially the same issue as using global variables. You must be very cautious and consider what you could be doing by using one.</p>&#xA;&#xA;<p>It's very rare to use them and usually there is a better way to do things. I've run into situations where I've done something with a singleton and then had to sift through my code to take it out after I discovered how much worse it made things (or after I came up with a much better, more sane solution)</p>&#xA;"
11914,2,11831,"2008-08-15 02:54:54",5,NULL,"<p>I've been trying to think of a way to come to the poor singelton's rescue here, but I must admit it's hard.  I've seen very few legitimate uses of them and with the current drive to do dependency injection andd unit testing they are just hard to use.  They definetly are the &quot;cargo cult&quot; manifestation of programming with design patterns I have worked with many programmers that have never cracked the &quot;GoF&quot; book but they know 'Singelton' and thus they know 'Patterns'.</p>&#xA;&#xA;<p>I do have to disagree with Orion though, most of the time I've seen singeltons oversused it's not global variables in a dress, but more like global services(methods) in a dress.  It's interesting to note that if you try to use Singeltons in the SQL Server 2005 in safe mode through the CLR interface the system will flag the code.  The problem is that you have persistent data beyond any given transaction that may run, of course if you make the instance variable read only you can get around the issue.  </p>&#xA;&#xA;<p>That issue lead to a lot of rework for me one year.</p>&#xA;"
11934,2,11831,"2008-08-15 03:40:27",0,NULL,"<p>I really disagree on the <em>bunch of global variables in a fancy dress</em> idea.  Singletons are really useful when used to solve the right problem.  Let me give you a real example.</p>&#xA;&#xA;<p>I once developed a small piece of software to a place I worked, and some forms had to use some info about the company, its employees, services and prices.  At its first version, the system kept loading that data from the database every time a form was opened.  Of course, I soon realized this approach was not the best one.</p>&#xA;&#xA;<p>Then I created a singleton class, named <em>company</em>, which encapsulated everything about the place, and it was completely filled with data by the time the system was opened.</p>&#xA;&#xA;<p>It was not just a bunch of variables in a fancy dress because this was had dozens of responsibilities, like communicating with persistence layer to save/retrieve data about the company, deal with employees and prices collections, etc.</p>&#xA;&#xA;<p>Plus, it was a fixed, system-wide, easily accessible point to have the company data.</p>&#xA;"
11985,2,11831,"2008-08-15 05:22:48",2,NULL,"<blockquote>&#xA;  <p>It was not just a bunch of variables in a fancy dress because this was had dozens of responsibilities, like communicating with persistence layer to save/retrieve data about the company, deal with employees and prices collections, etc.</p>&#xA;</blockquote>&#xA;&#xA;<p>I must say you're not really describing somthing that should be a single object and it's debatable that any of them, other than Data Serialization should have been a singelton.</p>&#xA;&#xA;<p>I can see at least 3 sets of classes that I would normally design in, but I tend to favor smaller simpler objects that do a narrow set of tasks very well.  I know that this is not the nature of most programmers.  (Yes I work on 5000 line class monstrosities every day, and I have a special love for the 1200 line methods some people write.)   </p>&#xA;&#xA;<p>I think the point is that in most cases you don't need a singelton and often your just making your life harder.</p>&#xA;"
24406,2,11831,"2008-08-23 17:22:32",4,NULL,"<p>Holy wars! Ok let me see.. Last time I checked the design police said..</p>&#xA;&#xA;<p>Singletons are bad because they hinder auto testing - instances cannot be created afresh for each test case.&#xA;Instead the logic should be in a class (A) that can be easily instantiated and tested. Another class (B) should be responsible for constraining creation. Single Responsibility Principle to the fore! It should be team-knowledge that you're supposed to go via B to access A - sort of a team convention.</p>&#xA;&#xA;<p>I concur mostly..</p>&#xA;"
29307,2,11831,"2008-08-27 01:20:26",8,NULL,"<p>I think there is a great misunderstanding about the use of the Singleton pattern. Most of the comments here refer to it as a place to access global data. We need to be careful here - Singleton as a pattern is <strong>not</strong> for accessing globals. </p>&#xA;&#xA;<p>Singleton should be used to have <strong>only one instance</strong> of the given class. <a href=&quot;http://www.netobjectivesrepository.com/&quot; rel=&quot;nofollow&quot;>Pattern Repository</a> has great information on <a href=&quot;http://www.netobjectivesrepository.com/TheSingletonPattern&quot; rel=&quot;nofollow&quot;>Singleton</a>.</p>&#xA;"
30769,2,11831,"2008-08-27 18:14:07",1,NULL,"<p>I've used singletons a bunch of times in conjunction with <a href=&quot;http://www.springframework.org/&quot; rel=&quot;nofollow&quot;>Spring</a> and didn't consider it a crutch or lazy.</p>&#xA;&#xA;<p>What this pattern allowed me to do was create a single class for a bunch of configuration-type values and then share the single (non-mutable) instance of that specific configuration instance between several users of my web application.  </p>&#xA;&#xA;<p>In my case, the singleton contained client configuration criteria - css file location, db connection criteria, feature sets, etc. - specific for that client.  These classes were instantiated and accessed through Spring and shared by users with the same configuration (i.e. 2 users from the same company). * *<em>I know there's a name for this type of application but it's escaping me</em></p>&#xA;&#xA;<p>I feel it would've been wasteful to create (then garbage collect) new instances of these &quot;constant&quot; objects for each user of the app.</p>&#xA;"
64887,2,11831,"2008-09-15 17:24:18",0,NULL,"<p>Singletons are very useful, and using them is not in and of itself an anti-pattern. However, they've gotten a bad reputation largely because they force any consuming code to acknowledge that they are a singleton in order to interact with them. That means if you ever need to &quot;un-Singletonize&quot; them, the impact on your codebase can be very significant.</p>&#xA;&#xA;<p>Instead, I'd suggest either hiding the Singleton behind a factory. That way, if you need to alter the service's instantiation behavior in the future, you can just change the factory rather than all types that consume the Singleton.</p>&#xA;&#xA;<p>Even better, use an inversion of control container! Most of them allow you to separate instantiation behavior from the implementation of your classes.</p>&#xA;"
64999,2,11831,"2008-09-15 17:38:23",55,NULL,"<p>In defense of singletons:</p>&#xA;&#xA;<ul>&#xA;<li><strong>They are not as bad as globals</strong> because globals have no standard-enforced initialization order, and you could easily see nondeterministic bugs due to naive or unexpected dependency orders.  Singletons (assuming they're allocated on the heap) are created after all globals, and in a very predictable place in the code.</li>&#xA;<li><strong>They're very useful for resource-lazy / -caching systems</strong> such as an interface to a slow I/O device.  If you intelligently build a singleton interface to a slow device, and no one ever calls it, you won't waste any time.  If another piece of code calls it from multiple places, your singleton can optimize caching for both simultaneously, and avoid any double look-ups.  You can also easily avoid any deadlock condition on the singleton-controlled resource.</li>&#xA;</ul>&#xA;&#xA;<p>Against singletons:</p>&#xA;&#xA;<ul>&#xA;<li><strong>In C++, there's no nice way to auto-clean-up after singletons.</strong>  There are work-arounds, and slightly hacky ways to do it, but there's just no simple, universal way to make sure your singleton's destructor is always called.  This isn't so terrible memory-wise -- just think of it as more global variables, for this purpose.  But it can be bad if your singleton allocates other resources (e.g. locks some files) and doesn't release them.</li>&#xA;</ul>&#xA;&#xA;<p>My own opinion:</p>&#xA;&#xA;<p>I use singletons, but avoid them if there's a reasonable alternative.  This has worked well for me so far, and I have found them to be testable, although slightly more work to test.</p>&#xA;"
65108,2,11831,"2008-09-15 17:52:07",21,NULL,"<p>There's three pretty good blog posts about Singletons by <a href=&quot;http://misko.hevery.com/about/&quot; rel=&quot;nofollow&quot;>Miško Hevery</a> in the Google Testing blog.</p>&#xA;&#xA;<ol>&#xA;  <li><a href=&quot;http://googletesting.blogspot.com/2008/08/by-miko-hevery-so-you-join-new-project.html&quot; rel=&quot;nofollow&quot;>Singletons are Pathological Liars</a></li>&#xA;  <li><a href=&quot;http://googletesting.blogspot.com/2008/08/where-have-all-singletons-gone.html&quot; rel=&quot;nofollow&quot;>Where Have All the Singletons Gone?</a></li>&#xA;  <li><a href=&quot;http://googletesting.blogspot.com/2008/08/root-cause-of-singletons.html&quot; rel=&quot;nofollow&quot;>Root Cause of Singletons</a></li>&#xA;</ol>&#xA;"
71189,2,11831,"2008-09-16 10:55:58",2,NULL,"<p>The biggest problem with singletons is that they make unit testing <em>hard</em>, particularly when you want to run your tests in parallel but independently.</p>&#xA;&#xA;<p>The second is that people often believe that lazy initialisation with double-checked locking is a good way to implement them.</p>&#xA;&#xA;<p>Finally, unless your singletons are immutable, then they can easily become a performance problem when you try and scale your application up to run in multiple threads on multiple processors. Contended synchronization is expensive in most environments.</p>&#xA;"
87053,2,11831,"2008-09-17 20:04:45",0,NULL,"<p>One scary thing on singletons in for instance Java is that you <em>can</em> end up with multiple instances of the same singleton in some cases.  The JVM uniquely identifies based on <em>two</em> elements:  A class' fully qualified name, and the classloader responsible for loading it.</p>&#xA;&#xA;<p>That means the same class can be loaded by two classloaders unaware of each other, and different parts of your application would have different instances of this singleton that they interact with.</p>&#xA;"
114400,2,11831,"2008-09-22 11:48:59",6,NULL,"<p>One of the colleagues I have worked with was very Singleton-minded. Whenever there was something that was kind of a manager or boss like object he would make that into a singleton, because he figured that there should be only one boss. And each time the system took up some new requirements, it turned out there were perfectly valid reasons to allow multiple instances. </p>&#xA;&#xA;<p>I would say that singleton should be used if the domain model dictates (not 'suggests') that there is one. All other cases are just accendentally single instances of a class.</p>&#xA;"
562473,2,11831,"2009-02-18 19:25:38",0,NULL,"<p>Write normal, testable, injectable objects and let Guice/Spring/whatever handle the instantiation. Seriously. </p>&#xA;&#xA;<p>This applies even in the case of caches or whatever the natural use cases for singletons are. <b>There's no need to repeat the horror of writing code to try to enforce one instance.</b> Let your dependency injection framework handle it. (I recommend Guice for a lightweight DI container if you're not already using one).</p>&#xA;"
562544,2,11831,"2009-02-18 19:49:34",2,NULL,"<p>Singleton as an implementation detail is fine. Singleton as an interface or as an access mechanism is a giant PITA.</p>&#xA;&#xA;<p>A static method that takes no parameters returning an instance of an object is only slightly different from just using a global variable. If instead an object has a reference to the singleton object passed in, either via constructor or other method, then it doesn't matter how the singleton is actually created and the whole pattern turns out not to matter.</p>&#xA;"
562550,2,11831,"2009-02-18 19:52:09",4,NULL,"<p>Many applications require that there is only one instance of some class, so the pattern of having only one instance of a class is useful. But there are variations to how the pattern is <em>implemented</em>.</p>&#xA;&#xA;<p>There is the <strong>static singleton</strong>, in which the class forces that there can only be one instance of the class per process (in Java actually one per ClassLoader). Another option is to <strong>create only one instance</strong>.</p>&#xA;&#xA;<p>Static singletons are <em>evil</em> - one sort of global variables. They make testing harder, because it's not possible to execute the tests in full isolation. You need complicated setup and tear down code for cleaning the system between every test, and it's very easy to forget to clean some global state properly, which in turn may result in unspecified behaviour in tests.</p>&#xA;&#xA;<p>Creating only one instance is <em>good</em>. You just create one instance when the programs starts, and then pass the pointer to that instance to all other objects which need it. Dependency injection frameworks make this easy - you just configure the scope of the object, and the DI framework will take care of creating the instance and passing it to all who need it. For example in Guice you would annotate the class with @Singleton, and the DI framework will create only one instance of the class (per application - you can have multiple applications running in the same JVM). This makes testing easy, because you can create a new instance of the class for each test, and let the garbage collector destroy the instance when it is no more used. No global state will leak from one test to another.</p>&#xA;&#xA;<p>For more information: &#xA;<a href=&quot;http://www.youtube.com/watch?v=-FRm3VPhseI&quot; rel=&quot;nofollow&quot;>The Clean Code Talks - &quot;Global State and Singletons&quot;</a></p>&#xA;"
562715,2,11831,"2009-02-18 20:36:06",-3,NULL,"<p>It seems to me that Singletons are considered bad only because it's hard to test them with current testing tools.  Perhaps that's a limitation of the current testing tools and not the pattern itself.</p>&#xA;&#xA;<p>Any good thing can be abused.  Most of the arguments I hear is that singletons are ssentially global variables.  They're not.</p>&#xA;&#xA;<p>What makes a global variable bad is that they are in scope despite being out of the visible scope, so it's way too easy to accidentally use them or accidentally not use them.  It's virtually impossible to &quot;accidentally&quot; use a singleton variable.  It's very format makes its use quite deliberate.</p>&#xA;&#xA;<p>There is certainly some argument that singletons can obscure the call graph, because it allows calling objects across layers, but you can achieve the same thing by passing an object down the graph via parameters.</p>&#xA;&#xA;<p>What's worse, the suggested &quot;fixes&quot; for singletons, such as singleton factories, don't change any of those problems, they just shuffle it around, and worse... they make it possible to instantiate multiple singletons.</p>&#xA;"
567544,2,11831,"2009-02-19 22:33:44",15,NULL,"<p>Singleton is <strong>not</strong> a horrible pattern, although it is <strong>misused</strong> a lot.  I think this misuse is because it is one of the easier patterns and most new to the singleton are attracted to the global side effect.</p>&#xA;&#xA;<p><a href=&quot;http://www.se-radio.net/podcast/2007-12/episode-81-interview-erich-gamma&quot;>Erich Gamma</a> had said the singleton is a pattern he wishes wasn't included in the GOF book and it's a bad design. I tend to disagree.</p>&#xA;&#xA;<p>If the pattern is used in order to create a single instance of an object at any given time  then the pattern is being used correctly.  If the singleton is used in order to give a global effect, it is being used incorrectly.</p>&#xA;&#xA;<p>Disadvantages:</p>&#xA;&#xA;<ul>&#xA;<li>You are coupling to one class throughout the code that calls the singleton&#xA;<ul>&#xA;<li>Creates a hassle with unit testing because it is difficult to replace the instance with a mock object</li>&#xA;<li>If the code needs to be refactored later on because of the need for more than one instance, it is more painful than if the singleton class were passed into the object (using an interface) that uses it</li>&#xA;</ul></li>&#xA;</ul>&#xA;&#xA;<p>Advantages:</p>&#xA;&#xA;<ul>&#xA;<li>One instance of a class is represented at any given point in time. &#xA;<ul>&#xA;<li>By design you are enforcing this</li>&#xA;</ul></li>&#xA;<li>Instance is created when it is needed</li>&#xA;<li>Global access is a side effect</li>&#xA;</ul>&#xA;"
1400915,2,11831,"2009-09-09 17:14:23",11,NULL,"<p>Chicks dig me because I rarely use singleton and when I do it's typically something unusual. No, seriously, I love the singleton pattern. You know why? Because:</p>&#xA;&#xA;<ol>&#xA;<li>I'm lazy.</li>&#xA;<li>Nothing can go wrong.</li>&#xA;</ol>&#xA;&#xA;<p>Sure, the &quot;experts&quot; will throw around a bunch of talk about &quot;unit testing&quot; and &quot;dependency injection&quot; but that's all a load of dingo's kidneys. You say the singleton is hard to unit test? No problem! Just declare everything public and turn your class into a fun house of global goodness. You remember the show Highlander from the 1990's? The singleton is kind of like that because: A. It can never die; and B. There can be only one. So stop listening to all those DI weenies and implement your singleton with abandon. Here are some more good reasons...</p>&#xA;&#xA;<ul>&#xA;<li>Everybody is doing it.</li>&#xA;<li>The singleton pattern makes you invincible.</li>&#xA;<li>Singleton rhymes with &quot;win&quot; (or &quot;fun&quot; depending on your accent).</li>&#xA;</ul>&#xA;"
1605151,2,11831,"2009-10-22 05:18:53",1,NULL,"<p>I'm reading a lot about &quot;Singleton&quot;, its problems, when to use it, etc., and these are my conclusions until now:</p>&#xA;&#xA;<ul>&#xA;<li><p>Confusion between the classic implementation of Singleton and the real requirement: TO HAVE JUST ONE INSTANCE OF a CLASS!</p></li>&#xA;<li><p>It's generally bad implemented. If you want a unique instance, don't use the (anti)pattern of using a static GetInstance() method returning a static object. This makes a class to be responsible for instantiating a single instance of itself and also perform logic. This breaks the <a href=&quot;http://en.wikipedia.org/wiki/Single%5Fresponsibility%5Fprinciple&quot; rel=&quot;nofollow&quot;>Single Responsibility Principle</a>. Instead, this should be implemented by a factory class with the responsibility of ensuring that only one instance exists.</p></li>&#xA;<li><p>It's used in constructors, because it's easy to use and must not be passed as a parameter. This should be resolved using <a href=&quot;http://en.wikipedia.org/wiki/Dependency%5Finjection&quot; rel=&quot;nofollow&quot;>dependency injection</a>, that is a great pattern to achieve a good and testable object model.</p></li>&#xA;<li><p>Not <a href=&quot;http://en.wikipedia.org/wiki/Test-driven%5Fdevelopment&quot; rel=&quot;nofollow&quot;>TDD</a>. If you do TDD, dependencies are extracted from the implementation because you want your tests to be easy to write. This makes your object model to be better. If you use TDD, you won't write a static GetInstance =). BTW, if you think in objects with clear responsibilities instead classes, you'll get the same effect =).</p></li>&#xA;</ul>&#xA;"
13475,2,13470,"2008-08-17 02:18:07",1,NULL,"<p>I don't think it has any purpose. But because RegEx is almost impossible to understand/decompose, people rarely point out errors. That is probably why no one else pointed it out. </p>&#xA;"
13483,2,13470,"2008-08-17 02:46:43",3,NULL,"<p>@<a href=&quot;http://stackoverflow.com/questions/13470/question-about-specific-regular-expression#13479&quot; rel=&quot;nofollow&quot;>Rob</a>: I disagree.  To enforce what you are asking for I think you would need to use negative-look-behind, which is possible but is certainly not related to use {1}.  Neither version of the regexp address that particular issue.</p>&#xA;&#xA;<p>To let the code speak:</p>&#xA;&#xA;<pre><code>tibook 0 /home/jj33/swap &gt; cat text&#xA;Text this is &lt;http://example.com&gt; text this is&#xA;Text this is &lt;http://http://example.com&gt; text this is&#xA;tibook 0 /home/jj33/swap &gt; cat p&#xA;#!/usr/bin/perl&#xA;&#xA;my $re1 = '((mailto\:|(news|(ht|f)tp(s?))\://){1}\S+)';&#xA;my $re2 = '((mailto\:|(news|(ht|f)tp(s?))\://)\S+)';&#xA;&#xA;while (&lt;&gt;) {&#xA;  print &quot;Evaluating: $_&quot;;&#xA;  print &quot;re1 saw \$1 = $1\n&quot; if (/$re1/);&#xA;  print &quot;re2 saw \$1 = $1\n&quot; if (/$re2/);&#xA;}&#xA;tibook 0 /home/jj33/swap &gt; cat text | perl p&#xA;Evaluating: Text this is &lt;http://example.com&gt; text this is&#xA;re1 saw $1 = &lt;http://example.com&gt;&#xA;re2 saw $1 = &lt;http://example.com&gt;&#xA;Evaluating: Text this is &lt;http://http://example.com&gt; text this is&#xA;re1 saw $1 = &lt;http://http://example.com&gt;&#xA;re2 saw $1 = &lt;http://http://example.com&gt;&#xA;tibook 0 /home/jj33/swap &gt;&#xA;</code></pre>&#xA;&#xA;<p>So, if there is a difference between the two versions, it's doesn't seem to be the one you suggest.</p>&#xA;"
13484,2,13470,"2008-08-17 02:56:56",1,NULL,"<p>@<a href=&quot;#13486&quot; rel=&quot;nofollow&quot;>Jeff Atwood</a>, your interpretation is a little off - the {1} means match exactly once, but has no effect on the &quot;capturing&quot; - the capturing occurs because of the parens - the braces only specify the number of times the pattern must match the source - once, as you say.</p>&#xA;&#xA;<p>I agree with @<a href=&quot;#13475&quot; rel=&quot;nofollow&quot;>Marius</a>, even if his answer is a little terse and may come off as being flippant. Regular expressions are tough, if one's not used to using them, and the {1} in the question isn't quite error - in systems that support it, it does mean &quot;exactly one match&quot;. In this sense, it doesn't really do anything.</p>&#xA;&#xA;<p>Unfortunately, contrary to a now-deleted post, it doesn't keep the regexp from matching <code>http://<a href=&quot;http://example.org&quot; rel=&quot;nofollow&quot;>http://example.org</a></code>, since the \S+ at the end will match one or more non-whitespace characters, including the <code>http://example.org</code> in <code>http://<a href=&quot;http://example.org&quot; rel=&quot;nofollow&quot;>http://example.org</a></code> (verified using Python 2.5, just in case my regexp reading was off). So, the regexp given isn't really the best. I'm not a URL expert, but probably something limiting the appearance of &quot;:&quot;s and &quot;//&quot;s after the first one would be necessary (but hardly sufficient) to ensure good URLs.</p>&#xA;"
13486,2,13470,"2008-08-17 02:58:18",2,NULL,"<p>I don't think the {1} has any valid function in that regex. </p>&#xA;&#xA;<blockquote>&#xA;  <p><strong>(</strong>mailto\:|(news|(ht|f)tp(s?))\://<strong>){1}</strong></p>&#xA;</blockquote>&#xA;&#xA;<p>You should read this as: &quot;capture the stuff in the parens exactly one time&quot;. But we don't really care about capturing this for use later, eg $1 in the replacement. So it's pointless.</p>&#xA;"
15512,2,15496,"2008-08-19 01:51:22",37,NULL,"<p>Language-level <strong>assert</strong> keyword.</p>&#xA;"
15533,2,15496,"2008-08-19 02:03:54",17,NULL,"<p>I really like the rewritten Threading API from Java 1.6. Callables are great. They are basically threads with a return value.</p>&#xA;"
15538,2,15496,"2008-08-19 02:06:42",25,NULL,"<p>static imports to &quot;enhance&quot; the language, so you can do nice literal things in type safe ways: </p>&#xA;&#xA;<pre><code>List&lt;String&gt; ls = List(&quot;a&quot;, &quot;b&quot;, &quot;c&quot;);&#xA;</code></pre>&#xA;&#xA;<p>(can also do with maps, arrays, sets). </p>&#xA;&#xA;<p><a href=&quot;http://gleichmann.wordpress.com/2008/01/13/building-your-own-literals-in-java-lists-and-arrays/&quot; rel=&quot;nofollow&quot;>http://gleichmann.wordpress.com/2008/01/13/building-your-own-literals-in-java-lists-and-arrays/</a></p>&#xA;&#xA;<p>Taking it further: </p>&#xA;&#xA;<pre><code>List&lt;Map&lt;String, String&gt;&gt; data = List(Map( o(&quot;name&quot;, &quot;michael&quot;), o(&quot;sex&quot;, &quot;male&quot;)));&#xA;</code></pre>&#xA;"
16528,2,15496,"2008-08-19 16:47:36",62,NULL,"<p>I think another &quot;overlooked&quot; feature of java is the JVM itself. It is probably the best VM available. And it supports lots of interesting and useful languages (Jython, JRuby, Scala, Groovy). All those languages can easily and seamlessly cooperate.</p>&#xA;&#xA;<p>If you design a new language (like in the scala-case) you immediately have all the existing libraries available and your language is therefore &quot;useful&quot; from the very beginning.</p>&#xA;&#xA;<p>All those languages make use of the HotSpot optimizations. The VM is very well monitor and debuggable. </p>&#xA;"
16838,2,15496,"2008-08-19 20:09:17",432,NULL,"<p><a href=&quot;http://www.c2.com/cgi/wiki?DoubleBraceInitialization&quot; rel=&quot;nofollow&quot;>Double Brace Initialization</a> took me by surprise a few months ago when I first discovered it, never heard of it before.</p>&#xA;&#xA;<p><a href=&quot;http://docs.oracle.com/javase/6/docs/api/java/lang/ThreadLocal.html&quot; rel=&quot;nofollow&quot;>ThreadLocals</a> are typically not so widely known as a way to store per-thread state.</p>&#xA;&#xA;<p>Since JDK 1.5 Java has had extremely well implemented and robust concurrency tools beyond just locks, they live in <a href=&quot;http://docs.oracle.com/javase/6/docs/api/java/util/concurrent/package-summary.html&quot; rel=&quot;nofollow&quot;>java.util.concurrent</a> and a specifically interesting example is the <a href=&quot;http://docs.oracle.com/javase/6/docs/api/java/util/concurrent/atomic/package-summary.html&quot; rel=&quot;nofollow&quot;>java.util.concurrent.atomic</a> subpackage that contains thread-safe primitives that implement the <a href=&quot;http://www.ibm.com/developerworks/java/library/j-jtp11234/&quot; rel=&quot;nofollow&quot;>compare-and-swap</a> operation and can map to actual native hardware-supported versions of these operations.</p>&#xA;"
17702,2,15496,"2008-08-20 10:07:44",15,NULL,"<p>Not really a feature, but it makes me chuckle that <strong><code>goto</code></strong> is a reserved word that does nothing except prompting javac to poke you in the eye.  Just to remind you that you are in OO-land now.</p>&#xA;"
17769,2,15496,"2008-08-20 11:30:50",23,NULL,"<p>As a starter I really appreciate the JConsole monitoring software in Java 6, it has solved a couple of problems for me already and I keep on finding new uses for it.</p>&#xA;&#xA;<p>Apparently the JConsole was there already in Java 5 but I reckon it is improved now and at least working much more stable as of now.</p>&#xA;&#xA;<p>JConsole in Java 5:&#xA;<a href=&quot;http://java.sun.com/developer/technicalArticles/J2SE/jconsole.html&quot; rel=&quot;nofollow&quot; title=&quot;Jconsole in Java 5&quot;>JConsole in Java 5</a></p>&#xA;&#xA;<p>JConsole in Java 6:&#xA;<a href=&quot;http://java.sun.com/developer/technicalArticles/J2SE/monitoring/&quot; rel=&quot;nofollow&quot; title=&quot;JConsole in Java 6&quot;>JConsole in Java 6</a></p>&#xA;&#xA;<p>And while you are at it, have a good look at the other tools in the series:&#xA;<a href=&quot;http://java.sun.com/javase/6/docs/technotes/tools/index.html#troubleshoot&quot; rel=&quot;nofollow&quot; title=&quot;Java 6 troubleshooting tools&quot;>Java 6 troubleshooting tools</a></p>&#xA;"
35084,2,15496,"2008-08-29 19:17:47",12,NULL,"<p>It's not exactly hidden, but reflection is incredibly useful and powerful.  It is great to use a simple Class.forName(&quot;...&quot;).newInstance() where the class type is configurable.  It's easy to write this sort of factory implementation.  </p>&#xA;"
35108,2,15496,"2008-08-29 19:29:41",144,NULL,"<p>How about <strong>covariant return types</strong> which have been in place since JDK 1.5?  It is pretty poorly publicised, as it is an unsexy addition, but as I understand it, is absolutely necessary for generics to work.  </p>&#xA;&#xA;<p>Essentially, the compiler now allows a subclass to narrow the return type of an overridden method to be a subclass of the original method's return type.  So this is allowed:</p>&#xA;&#xA;<pre><code>class Souper {&#xA;    Collection&lt;String&gt; values() {&#xA;        ...&#xA;    }&#xA;}&#xA;&#xA;class ThreadSafeSortedSub extends Souper {&#xA;    @Override&#xA;    ConcurrentSkipListSet&lt;String&gt; values() {&#xA;        ...&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>You can call the subclass's <code>values</code> method and obtain a sorted thread safe <code>Set</code> of <code>String</code>s <strong>without having to down cast</strong> to the <code>ConcurrentSkipListSet</code>.</p>&#xA;"
35124,2,15496,"2008-08-29 19:36:48",4,NULL,"<p>Functors are pretty cool. They are pretty close to a function pointer, which everyone is usually quick to say is impossible in Java.</p>&#xA;&#xA;<p><a href=&quot;http://chaoticjava.com/posts/functors-in-java-and-beyond/&quot; rel=&quot;nofollow&quot;>Functors in Java</a></p>&#xA;"
39433,2,15496,"2008-09-02 12:57:04",156,NULL,"<p>For most people I interview for Java developer positions labeled blocks are very surprising. Here is an example:</p>&#xA;&#xA;<pre><code>// code goes here&#xA;&#xA;getmeout:{&#xA;    for (int i = 0; i &lt; N; ++i) {&#xA;        for (int j = i; j &lt; N; ++j) {&#xA;            for (int k = j; k &lt; N; ++k) {&#xA;                //do something here&#xA;                break getmeout;&#xA;            }&#xA;        }&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Who said <code>goto</code> in java is just a keyword? :)</p>&#xA;"
40967,2,15496,"2008-09-03 00:33:17",13,NULL,"<p>I was aware that Java 6 included scripting support, but I just recently discovered <a href=&quot;http://java.sun.com/javase/6/docs/technotes/tools/share/jrunscript.html&quot; rel=&quot;nofollow&quot;>jrunscript</a>, &#xA;which can interpret and run JavaScript (and, one presumes, other scripting languages such as Groovy) interactively, sort of like the Python shell or irb in Ruby</p>&#xA;"
41023,2,15496,"2008-09-03 01:29:40",88,NULL,"<p><a href=&quot;http://docs.oracle.com/javase/7/docs/technotes/guides/reflection/proxy.html&quot; rel=&quot;nofollow&quot;>Dynamic proxies</a> (added in 1.3) allow you to define a new type at runtime that conforms to an interface.  It's come in handy a surprising number of times.</p>&#xA;"
42686,2,15496,"2008-09-03 21:51:46",279,NULL,"<p>Joint union in type parameter variance:</p>&#xA;&#xA;<pre><code>public class Baz&lt;T extends Foo &amp; Bar&gt; {}&#xA;</code></pre>&#xA;&#xA;<p>For example, if you wanted to take a parameter that's both Comparable and a Collection:</p>&#xA;&#xA;<pre><code>public static &lt;A, B extends Collection&lt;A&gt; &amp; Comparable&lt;B&gt;&gt;&#xA;boolean foo(B b1, B b2, A a) {&#xA;   return (b1.compareTo(b2) == 0) || b1.contains(a) || b2.contains(a);&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>This contrived method returns true if the two given collections are equal or if either one of them contains the given element, otherwise false. The point to notice is that you can invoke methods of both Comparable and Collection on the arguments b1 and b2.</p>&#xA;"
44054,2,15496,"2008-09-04 15:55:04",12,NULL,"<p>I know this was added in release 1.5 but the new <em>enum type</em> is a great feature.  Not having to use the old &quot;int enum pattern&quot; has greatly helped a bunch of my code.  <a href=&quot;http://java.sun.com/docs/books/jls/third_edition/html/classes.html#8.9&quot; rel=&quot;nofollow&quot;>Check out JLS 8.9</a> for the sweet gravy on your potatoes!</p>&#xA;"
47347,2,15496,"2008-09-06 09:07:16",11,NULL,"<p><strong>final for instance variables:</strong> </p>&#xA;&#xA;<p>Really useful for multi-threading code and it makes it a lot easier to argue about the instance state and correctness. Haven't seen it a lot in industry context and often not thought in java classes.</p>&#xA;&#xA;<p><hr /></p>&#xA;&#xA;<p><strong>static {something;}:</strong> </p>&#xA;&#xA;<p>Used to initialize static members (also I prefer a static method to do it (because it has a name). Not thought.</p>&#xA;"
